experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a dog outdoors but not being walked by a person.\nRule: The presence of a person walking a dog outdoors.\nTest Image: A dog outdoors wearing a bandana.\nConclusion: cat_1']
172 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict the process of shearing sheep, where a person is actively removing the wool from the sheep. The cat_1 images show various interactions with sheep but do not include the act of shearing. The test image shows a person shearing a sheep, which aligns with the activity in the cat_2 images.\nRule: The presence of sheep shearing activity.\nTest Image: A person is shearing a sheep.\nConclusion: cat_2']
173 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict the process of shearing sheep, with individuals actively engaged in removing wool from the sheep. The cat_1 images show sheep in various settings but do not involve the act of shearing. The test image shows a sheep being led by a person in a parade-like setting, with no shearing activity taking place.\nRule: The presence of sheep shearing activity.\nTest Image: A sheep being led in a parade-like setting with no shearing activity.\nConclusion: cat_1']
174 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals shearing sheep, while the cat_1 images show various interactions with sheep that do not involve shearing. The test image shows a person shearing a sheep.\nRule: The presence of sheep shearing activity.\nTest Image: A person is shearing a sheep in a field.\nConclusion: cat_2']
175 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict individuals shearing sheep, while the cat_1 images show people interacting with sheep in various ways that do not involve shearing. The test image shows children petting a sheep, which does not involve shearing.\nRule: The presence of sheep shearing activity.\nTest Image: Children petting a sheep in a fenced area.\nConclusion: cat_1']
176 | expected:'cat_2' | got='cat_1' | full: [" Analysis: The cat_2 images depict individuals shearing sheep, which involves removing the wool from the sheep's body. The cat_1 images show various interactions with sheep that do not involve shearing, such as walking, herding, feeding, and holding.\nRule: The presence of sheep shearing activity.\nTest Image: A person is holding a sheep in a pen, not shearing it.\nConclusion: cat_1"]
177 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The cat_2 images depict individuals shearing sheep, which involves removing the wool from the sheep's body. The cat_1 images show various interactions with sheep that do not involve shearing, such as walking, herding, feeding, and carrying. The test image shows a person standing in a field with sheep in the background, but there is no indication of shearing activity.\nRule: The presence of sheep shearing activity.\nTest Image: A person standing in a field with sheep in the background, no shearing activity.\nConclusion: cat_1"]
178 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all show a hand directly interacting with a computer mouse, while the cat_1 images do not show this direct interaction with a mouse.\nRule: The presence of a hand directly interacting with a computer mouse.\nTest Image: A hand is directly interacting with a computer mouse.\nConclusion: cat_2']
179 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The `cat_2` images all feature a hand interacting with a computer mouse or keyboard, while the `cat_1` images do not show this interaction. The `test image` shows a person holding a mug and does not involve a computer mouse or keyboard.\nRule: The presence of a hand interacting with a computer mouse or keyboard.\nTest Image: A person holding a mug.\nConclusion: cat_1']
180 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The `cat_2` images show individuals directly smelling or eating an apple, focusing on the interaction between the person and the apple. The `cat_1` images do not show this direct interaction; instead, they depict people holding apples, picking them, or preparing them, but not smelling or eating them directly.\nRule: The distinguishing rule is that the person must be directly smelling or eating the apple.\nTest Image: A woman is directly eating an apple.\nConclusion: cat_2']
181 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict individuals directly smelling or eating an apple, focusing on the interaction between the person and the apple. The cat_1 images do not show this direct interaction; instead, they show people holding apples, picking them, or preparing them, but not smelling or eating them directly.\nRule: The distinguishing rule is that the images in cat_2 show people directly smelling or eating an apples, while those in cat_1 do not.\nTest Image: The test image shows a person holding a child in an apple orchard, with no direct interaction such as smelling or eating an apple.\nConclusion: cat_1']
182 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all show individuals holding a remote control and appear to be in a relaxed setting, likely watching TV. The cat_1 images show individuals holding game controllers or remotes in a way that suggests they are playing video games, not watching TV. The test image shows a woman holding a remote control and a man lying down, suggesting a relaxed setting similar to watching TV.\nRule: Individuals are holding a remote control in a relaxed setting, likely watching TV.\nTest Image: A woman holding a remote control over a man lying down, both appear relaxed.\nConclusion: cat_2']
183 | expected:'cat_1' | got='cat_2' | full: [' Analysis: The cat_2 images all show individuals holding a remote control and appear to be engaged in watching TV. The cat_1 images show individuals holding game controllers or remotes in a manner that suggests they are playing video games rather than watching TV. The test image shows two individuals holding remotes and appears to be engaged in watching TV.\nRule: Individuals are holding a remote control and appear to be watching TV.\nTest Image: Two individuals holding remotes and appear to be watching TV.\nConclusion: cat_2']
184 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all show individuals brushing their teeth, while the cat_1 images do not depict tooth brushing but rather other activities involving toothbrushes or dental hygiene.\nRule: Individuals are actively brushing their teeth.\nTest Image: A person is brushing their teeth while taking a mirror selfie.\nConclusion: cat_2']
