experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking dogs on leashes, typically in an outdoor street setting. The dogs are generally at arm's length or further away from the person. The images in cat_1 show people holding or closely interacting with dogs, often in a more intimate or caring manner (e.g., cuddling, bathing).\nRule: Cat_2 images depict people walking dogs on leashes at a distance, while cat_1 images depict people closely holding or interacting with dogs.\nTest Image: The test image shows a dog sitting and looking at the camera, with a person partially visible in the background. The dog is not on a leash and is not being walked.\nConclusion: cat_1"]'
62 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people wearing a tie and a jacket, while the images in cat_1 show people tying a tie.\nRule: Cat_2 images depict individuals already wearing a tie and jacket, while cat_1 images depict individuals in the process of tying a tie.\nTest Image: The test image shows people wearing ties and jackets, but with bare torsos.\nConclusion: cat_2']'
63 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people who are the main focus of the image and are looking directly at the camera. The images in cat_1 depict people who are having their ties adjusted by someone else, and are not looking directly at the camera.\nRule: The main subject in the image is looking directly at the camera.\nTest Image: The test image shows a man having his tie adjusted by someone else, and he is not looking directly at the camera.\nConclusion: cat_1']'
64 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 show children playing tennis, while the images in cat_1 show adults playing tennis.\nRule: The images are categorized based on the age of the tennis player(s). Cat_2 contains images of children playing tennis, and cat_1 contains images of adults playing tennis.\nTest Image: The test image shows an adult woman playing tennis.\nConclusion: cat_1']'
65 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show children playing tennis, while the images in cat_1 show adults playing tennis.\nRule: The images are categorized based on the age of the tennis player(s). Cat_2 contains images of children playing tennis, and cat_1 contains images of adults playing tennis.\nTest Image: The test image shows an adult woman playing tennis.\nConclusion: cat_1']'
66 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show a person adjusting their tie, while the images in cat_1 show people wearing ties but not actively adjusting them.\nRule: The presence of a person actively adjusting their tie.\nTest Image: The test image shows a woman adjusting her tie.\nConclusion: cat_2']'
67 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 all feature a person actively adjusting or wearing a tie. The images in cat_1 do not show a person adjusting or wearing a tie; they show people with ties, but not in the act of putting one on or wearing it.\nRule: The presence of a person actively adjusting or wearing a tie.\nTest Image: The test image shows a row of ties hanging, with a blurred background of people and a street scene. No person is actively adjusting or wearing a tie.\nConclusion: cat_1']'
68 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people adjusting their neckwear (ties or bow ties) while wearing a collared shirt and a jacket or suit. The images in cat_1 show people with neckwear in unusual or non-traditional contexts, or with significant portions of their torso exposed.\nRule: Cat_2 images depict individuals formally adjusting a tie or bow tie while wearing a collared shirt and a jacket/suit. Cat_1 images do not adhere to this formal attire and adjustment context.\nTest Image: The test image shows a person adjusting a tie while wearing a collared shirt.\nConclusion: cat_2']'
69 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people adjusting or tying neckwear (ties or bow ties) while wearing formal attire, typically a shirt and jacket. The images in cat_1 show people wearing neckwear in non-traditional or informal settings, or with unusual clothing.\nRule: Cat_2 images depict individuals formally adjusting a tie or bow tie as part of dressing up, while cat_1 images show neckties worn in informal or unusual contexts.\nTest Image: The test image shows a person wearing a tie while riding a bicycle in a costume, including a cape and helmet. This is an unusual and informal context for wearing a tie.\nConclusion: cat_1']'
70 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 show people sitting normally on a bench. The images in cat_1 show people in unusual positions on or near a bench - lying down, posing, or interacting with a prop.\nRule: Cat_2 images depict people sitting normally on a bench, while cat_1 images depict people in unusual positions on or near a bench.\nTest Image: The test image shows people standing and leaning on a bench, not sitting normally.\nConclusion: cat_1']'
71 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people sitting normally on a bench, appearing to wait or casually occupy the space. The `cat_1` images all depict people lying or reclining on a bench, in a non-standard or unusual posture.\nRule: The images are categorized based on whether the people are sitting upright on the bench (`cat_2`) or lying/reclining on the bench (`cat_1`).\nTest Image: The test image shows people sitting on a bench.\nConclusion: cat_2']'
72 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show a person tying their own tie. The images in cat_1 show someone else tying a tie for a person, or a tie on an object.\nRule: The person in the image is tying their own tie.\nTest Image: The test image shows a person tying their own tie.\nConclusion: cat_2']'
73 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show a person tying a tie around their own neck. The images in cat_1 show someone else tying a tie around a person or an object.\nRule: Cat_2 images depict a person tying their own tie, while cat_1 images depict someone else tying a tie for them or on an object.\nTest Image: The test image shows a person having their tie adjusted by another person.\nConclusion: cat_1']'
74 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show players in the middle of a tennis swing, actively hitting the ball. The images in cat_1 show players either drinking water, looking at the ball, or in a pose that is not actively hitting the ball.\nRule: Cat_2 images depict a player in the act of hitting a tennis ball, while cat_1 images do not.\nTest Image: The test image shows a player in the middle of a tennis swing, actively hitting the ball.\nConclusion: cat_2']'
75 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The images in cat_2 show players in the middle of a tennis swing, actively hitting the ball. The images in cat_1 show players either drinking water, looking at the ball, or in a relaxed pose, not actively hitting the ball.\nRule: Cat_2 images depict a player in the act of hitting a tennis ball (swinging). Cat_1 images depict a player not actively hitting the ball.\nTest Image: The test image shows a player in the middle of a tennis swing, about to hit the ball.\nConclusion: cat_2']'
76 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show a player hitting a forehand shot, with the racket moving from high to low across their body. The images in cat_1 show players hitting a backhand or are in a different stage of the forehand motion (e.g., preparing to hit, following through after the hit).\nRule: Cat_2 images depict a player executing a forehand stroke with the racket moving in a downward arc across the body.\nTest Image: The test image shows a player hitting a forehand with the racket moving from high to low across their body.\nConclusion: cat_2']'
77 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show a single tennis player hitting a ball, while the images in cat_1 show either multiple players or a player not actively hitting a ball (e.g., walking on the court).\nRule: Cat_2 images contain only one player actively hitting a tennis ball.\nTest Image: The test image shows multiple players on the court, with at least one player not actively hitting a ball.\nConclusion: cat_1']'
78 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people (mostly babies and young children) with their mouths open, appearing to be in the process of having their teeth brushed by someone else. The images in cat_1 show people brushing their own teeth or holding a toothbrush in a way that doesn't involve someone else brushing their teeth.\nRule: The images in cat_2 depict someone *having* their teeth brushed, while the images in cat_1 depict someone brushing *their own* teeth.\nTest Image: The test image shows a person with a toothbrush in their mouth, and they appear to be brushing their own teeth.\nConclusion: cat_1"]'
