experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not have this common element.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a dog sitting and looking at the camera. It does not depict a person walking a dog.\nConclusion: cat_1']'
96 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature a hand interacting with a computer mouse or keyboard. The images show people using computers, typing, or clicking with a mouse.\nRule: Images featuring a hand interacting with a computer mouse or keyboard.\nTest Image: The test image shows a keyboard and a mouse.\nConclusion: cat_2']'
97 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show a hand holding a computer mouse.\nRule: All images contain a hand holding a computer mouse.\nTest Image: The test image shows a person sitting in a chair with a mouse on their lap.\nConclusion: cat_2']'
98 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people playing frisbee outdoors in a grassy area. The frisbee is always in the air, and the people are actively engaged in throwing or catching it.\nRule: Images depicting people playing frisbee outdoors.\nTest Image: The test image shows a person playing frisbee outdoors.\nConclusion: cat_2']'
99 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people actively throwing or catching a disc (frisbee) outdoors. The images depict outdoor activities involving throwing and catching a disc.\nRule: Images showing people actively throwing or catching a disc outdoors.\nTest Image: The test image shows a person holding a disc and looking towards it. It does not show any action of throwing or catching.\nConclusion: cat_1']'
100 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people eating apples. The cat_1 images do not show people eating apples.\nRule: Images showing people eating apples belong to cat_2.\nTest Image: The test image shows a child eating an apple.\nConclusion: cat_2']'
101 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people eating apples. The `cat_1` images do not show people eating apples.\nRule: Images showing people eating apples belong to the `cat_2` category.\nTest Image: The test image shows a person with apple juice running down their face.\nConclusion: cat_2']'
102 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show children holding or interacting with a television remote control. The cat_1 images do not depict children holding or interacting with a remote control.\nRule: Images featuring children holding or interacting with a television remote control.\nTest Image: The test image shows a child holding a television remote control.\nConclusion: cat_2']'
103 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people (adults and children) holding or interacting with a television remote control. The cat_1 images do not depict anyone holding or interacting with a remote control.\nRule: Images featuring people holding or interacting with a television remote control.\nTest Image: The test image shows a group of people holding television remote controls.\nConclusion: cat_2']'
104 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding an apple. All the cat_1 images show a person holding an apple.\nRule: All images show a person holding an apple.\nTest Image: A boy is holding an apple.\nConclusion: cat_2']'
105 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show a person holding an apple.\nRule: All images contain a person holding an apple.\nTest Image: A person is washing an apple in a sink.\nConclusion: cat_1']'
106 | expected:'cat_2' | got='cat_1 | full: ["Analysis: All the cat_2 images show people throwing a disc in an outdoor setting, often with a clear view of the disc in flight and the thrower's body posture focused on the throw. The images are generally dynamic and capture the action of the throw.\n\nRule: Images showing a person actively throwing a disc with a clear view of the disc in flight and the thrower's body posture focused on the throw.\n\nTest Image: The test image shows a man throwing a disc, but the focus is on the disc itself, and the thrower's body posture is not clearly visible or focused on the throw. The image is static and lacks the dynamic action of the other cat_2 images.\n\nConclusion: cat_1"]'
107 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people throwing or catching a disc (frisbee) outdoors, typically in a natural setting like a park or beach. The focus is on the action of throwing/catching the disc. The `cat_1` images do not show this activity.\nRule: Images showing people throwing or catching a disc outdoors.\nTest Image: The test image shows a person lying on the ground while holding a disc. It does not depict the action of throwing or catching.\nConclusion: cat_1']'
108 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people sitting on benches in outdoor settings, often with other people nearby. The people are generally engaged in casual activities like reading, talking, or simply relaxing. The images have a natural, candid feel.\n\nRule: People sitting on benches in outdoor settings.\n\nTest Image: Two elderly people are sitting on a bench reading a newspaper.\n\nConclusion: cat_2']'
109 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people sitting on benches. The cat_1 images do not show people sitting on benches.\nRule: People sitting on benches.\nTest Image: A person is sitting on a bench.\nConclusion: cat_2']'
110 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people sitting on benches in outdoor settings, often with a focus on the bench itself and the surrounding environment. The people are generally engaged in reading or other quiet activities. The `cat_1` images do not share this common element – they depict various scenes without people on benches.\n\nRule: People sitting on benches in outdoor settings.\n\nTest Image: Two men sitting on a bench reading newspapers.\n\nConclusion: cat_2']'
111 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people sitting on benches. The `cat_1` images do not have this common element.\nRule: Images of people sitting on benches.\nTest Image: A person is sleeping on a bench.\nConclusion: cat_1']'
112 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people being tied up with a tie. The cat_1 images do not show this action.\nRule: People being tied up with a tie.\nTest Image: People being tied up with a tie.\nConclusion: cat_2']'
113 | expected:'cat_1' | got='cat_2 | full: ["Analysis: All the cat_2 images show two people tying each other's ties. The cat_1 images show various other activities, such as people attending events, or simply standing.\nRule: Two people are tying each other's ties.\nTest Image: Two people are tying each other's ties.\nConclusion: cat_2"]'
114 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a child holding an apple. All the cat_1 images show a person holding an apple.\nRule: Images showing a child holding an apple belong to cat_2, while images showing a person holding an apple belong to cat_1.\nTest Image: The test image shows a child holding an apple.\nConclusion: cat_2']'
115 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show children holding apples.\nRule: Images showing children holding apples.\nTest Image: The test image shows a man holding two apples on a plate.\nConclusion: cat_1']'
116 | expected:'cat_2' | got='cat_1 | full: ['Analysis: All the cat_2 images show people sitting in chairs, often with a relaxed posture and sometimes with drinks or other objects nearby. The chairs are typically upholstered and appear to be in a domestic setting.\nRule: People sitting in chairs, relaxed posture, presence of objects (drinks, etc.) in the scene.\nTest Image: Two men sitting in chairs, reading a map.\nConclusion: cat_1']'
117 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people sitting in armchairs or similar seating arrangements. The people are relaxed, often leaning back, and appear to be resting or lounging.\nRule: People sitting in armchairs or similar seating arrangements.\nTest Image: People are sitting at a table in a restaurant.\nConclusion: cat_1']'
118 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people sitting on benches.\nRule: All images contain people sitting on a bench.\nTest Image: The test image shows two people sitting on a bench.\nConclusion: cat_2']'
119 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people sitting on benches.\nRule: Images showing people sitting on benches.\nTest Image: The test image shows a scarecrow sitting on a bench.\nConclusion: cat_1']'
120 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people picking apples from trees. The cat_1 images show people in various settings, but none are actively picking apples from trees.\nRule: Images depicting people picking apples from trees belong to category cat_2.\nTest Image: The test image shows a child and a man picking apples from a tree.\nConclusion: cat_2']'
121 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people picking apples in an orchard or apple-picking environment. The people are generally adults or children, and they are actively engaged in the activity of picking apples. The cat_1 images show people in various settings, not related to apple picking.\n\nRule: Images depicting people actively picking apples in an orchard or apple-picking environment.\n\nTest Image: The test image shows a child holding an apple and giving a thumbs-up. It is in an apple orchard setting.\n\nConclusion: cat_2']'
