experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: ['1. Rule: The cat_2 images show dogs being walked on leashes by people, while the cat_1 images show dogs being held or petted by people.\n2. Analysis: The test image shows a dog wearing a bow tie, which is not a leash, and the dog is not being walked by a person. The dog appears to be sitting on a surface, possibly a couch or a chair, and is being held by a person.\n3. Conclusion: cat_1']
175 | expected:'cat_1' | got='cat_1' | full: [' Analysis: cat_2 images show people shearing or interacting with sheep in a controlled environment, often with tools or equipment. cat_1 images show sheep in natural settings, often being petted or herded by people without tools or equipment. \nRule: People shearing or interacting with sheep in a controlled environment with tools or equipment \nTest Image: people petting a sheep in a natural setting \nConclusion: cat_1']
176 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show people shearing sheep, while the cat_1 images show sheep in various settings with no shearing activity. The test image shows a person shearing a sheep, which aligns with the cat_2 images.\n\nRule: People shearing sheep\n\nTest Image: A person is shearing a sheep in a barn setting\n\nConclusion: cat_2']
177 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images show people shearing sheep, while the cat_1 images show sheep in various settings with no shearing activity. The test image shows a person standing in a field with a flock of sheep in the background, but no shearing activity is taking place.\n\nRule: The distinguishing rule is the presence of shearing activity in the cat_2 images.\n\nTest Image: A person standing in a field with a flock of sheep in the background, no shearing activity is taking place.\n\nConclusion: cat_1']
178 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a hand using a computer mouse, while cat_1 images show a person using a computer in various ways but not specifically with a mouse. The hand in the test image is using a computer mouse, which aligns with the cat_2 images.\n\nRule: The hand is using a computer mouse.\n\nTest Image: A hand is using a computer mouse.\n\nConclusion: cat_2']
179 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show hands using a computer mouse, while cat_1 images show people using laptops or other devices without a mouse. \nRule: The rule is that cat_2 images show hands using a computer mouse, while cat_1 images show people using laptops or other devices without a mouse. \nTest Image: A woman is holding a white mug with a logo on it, and her face is partially visible. \nConclusion: cat_1']
180 | expected:'cat_2' | got='cat_2' | full: [" Analysis: All cat_2 images show a person holding an apple, with the apple being the main focus. The apple is typically whole and not being cut or prepared in any way. The person's expression is often neutral or slightly smiling, and the setting is usually indoors or in a controlled environment. The cat_1 images show a person holding an apple, but the apple is often being cut, peeled, or prepared in some way, and the setting is usually outdoors or in a more casual environment. The person's expression is often more focused or engaged in the activity.\n\nRule: The distinguishing rule is that cat_2 images show a person holding a whole, unprepared apple, while cat_1 images show a person holding an apple that is being cut, peeled, or prepared in some way.\n\nTest Image: A person is holding a whole, unprepared apple, with a neutral expression and the setting appears to be indoors.\n\nConclusion: cat_2"]
181 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person holding an apple, with the apple being the main focus. The apple is typically whole and not being cut or prepared in any way. The people in the images are engaged in the act of smelling or holding the apple, suggesting a casual and natural interaction with the fruit. The cat_1 images show a person holding an apple, but the apple is being cut or prepared in some way, or the person is not interacting with the apple in a natural way. The apple is not the main focus in these images.\n\nRule: The distinguishing rule is that in cat_2 images, the apple is whole and the person is interacting with it in a natural way, while in cat_1 images, the apple is being cut or prepared, or the person is not interacting with it in a natural way.\n\nTest Image: A woman is holding a baby, and the baby is holding an apple. The apple is being held in a way that suggests it is being prepared or cut, as the baby is holding it with both hands, and the apple appears to be in a position that suggests it is being held for cutting or peeling.\n\nConclusion: cat_1']
182 | expected:'cat_2' | got='cat_1' | full: [' Analysis: All cat_2 images show people holding a TV remote control, while cat_1 images show people holding a Wii remote or playing a video game. \nRule: Holding a TV remote control \nTest Image: A woman is holding a TV remote control while standing behind a man who is holding a Wii remote. \nConclusion: cat_1']
183 | expected:'cat_1' | got='cat_2' | full: [' Analysis: All cat_2 images show people holding a TV remote control, while cat_1 images show people holding a Wii remote or playing a video game. \nRule: Holding a TV remote control \nTest Image: A man and a woman are sitting on a couch, both holding a TV remote control. \nConclusion: cat_2']
184 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a person holding a toothbrush, while cat_1 images show a toothbrush without a person holding it. The toothbrushes in cat_2 images are being used or are in the process of being used, while in cat_1 images, the toothbrushes are not being used and are simply held or placed.\n\nRule: The distinguishing rule is that cat_2 images show a person holding a toothbrush, while cat_1 images show a toothbrush without a person holding it.\n\nTest Image: A person is holding a toothbrush in their mouth, which is being used.\n\nConclusion: cat_2']
185 | expected:'cat_1' | got='cat_2' | full: [' Analysis: All cat_2 images show a child holding a toothbrush, while cat_1 images show an adult holding a toothbrush or a toothbrush in a different context. The toothbrush is always being used by the child in cat_2 images.\nRule: The child is holding the toothbrush in cat_2 images.\nTest Image: A child is holding a toothbrush and smiling.\nConclusion: cat_2']
186 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The cat_2 images show people shearing or interacting with sheep in a controlled environment, often with a focus on the process or the sheep's condition. The cat_1 images depict sheep in a more natural setting, such as being herded or in a less controlled environment, with less focus on the shearing process.\n\nRule: The distinguishing rule is the controlled environment and the focus on the shearing process in cat_2 images, compared to the natural setting and less focus on the shearing process in cat_1 images.\n\nTest Image: The test image shows people shearing sheep in a controlled environment, with a focus on the shearing process and the sheep's condition.\n\nConclusion: cat_2"]
