experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people walking dogs outdoors, while the `cat_1` images show people holding or interacting with dogs indoors or in close-up settings.\n\nRule: The distinguishing rule is whether the scene is outdoors with people walking dogs (`cat_2`) or indoors or close-up interactions with dogs (`cat_1`).\n\nTest Image: The test image shows a dog sitting on a paved path outdoors.\n\nConclusion: cat_2']
167 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images show people brushing their teeth or holding toothbrushes, while the `cat_1` images do not involve toothbrushes or toothbrush-related activities.\nRule: The presence of toothbrushes or toothbrush-related activities.\nTest Image: The test image shows a person holding a toothbrush.\nConclusion: cat_2']
168 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images depict people sitting or lying down in various settings, such as chairs, loungers, or on the ground. The `cat_1` images show people standing or engaged in activities that do not involve sitting or lying down, such as walking, carrying objects, or standing in conversation.\n\nRule: The distinguishing rule is whether the people in the image are sitting or lying down (`cat_2`) versus standing or engaged in other activities (`cat_1`).\n\nTest Image: The test image shows people sitting on a beach under an umbrella.\n\nConclusion: cat_2']
169 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The `cat_2` images depict people sitting or lying down in various outdoor and indoor settings, often in a relaxed or casual posture. The `cat_1` images show people engaged in more active or social activities, such as walking, talking, or sitting at a table in a more structured setting.\n\nRule: The distinguishing rule is that `cat_2` images show people in a relaxed or resting posture, while `cat_1` images show people in more active or social settings.\n\nTest Image: The test image shows two people sitting at a table in an outdoor setting, engaged in conversation.\n\nConclusion: cat_1']
170 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show people shearing sheep, while the images in cat_1 show people interacting with sheep in various settings, such as petting or feeding them.\n\nRule: The distinguishing rule is whether the image depicts the act of shearing sheep.\n\nTest Image: The test image shows a person shearing a sheep.\n\nConclusion: cat_2']
171 | expected:'cat_1' | got='cat_1' | full: ['Analysis: The images in cat_2 show people shearing sheep or interacting with them in a shearing context, often indoors or in a controlled setting. The images in cat_1 show people interacting with sheep in a more casual or outdoor setting, often petting or feeding them.\n\nRule: The distinguishing rule is whether the image depicts sheep shearing or a shearing-related activity (cat_2) versus casual interaction with sheep (cat_1).\n\nTest Image: The test image shows a person kneeling and interacting with a sheep in a grassy outdoor area.\n\nConclusion: cat_1']
172 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show people shearing sheep, while the images in cat_1 show sheep in various settings, including being petted or standing in pens, without shearing activity.\n\nRule: The distinguishing rule is whether the image depicts the act of shearing sheep.\n\nTest Image: The test image shows a person shearing a sheep.\n\nConclusion: cat_2']
173 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 show people shearing sheep, while the images in cat_1 show people interacting with sheep in various settings, such as petting or walking them.\n\nRule: The distinguishing rule is whether the image depicts the act of shearing sheep.\n\nTest Image: The test image shows a person shearing a sheep.\n\nConclusion: cat_2']
174 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in `cat_2` depict people interacting with sheep, such as shearing, holding, or feeding them. The images in `cat_1` show sheep in various settings without direct human interaction, such as grazing or walking in a line.\n\nRule: The distinguishing rule is the presence of human interaction with sheep. `cat_2` includes images where people are directly interacting with sheep, while `cat_1` includes images where sheep are without human interaction.\n\nTest Image: The test image shows a person shearing a sheep.\n\nConclusion: cat_2']
175 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 show people interacting with sheep, either shearing, holding, or feeding them. The images in cat_1 show sheep in various settings without direct human interaction, such as grazing or walking in a line.\n\nRule: The distinguishing rule is the presence of human interaction with sheep. Cat_2 includes images where people are directly interacting with sheep, while cat_1 includes images where sheep are without human interaction.\n\nTest Image: The test image shows children and an adult interacting with a sheep, petting and possibly feeding it.\n\nConclusion: cat_2']
176 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The images in cat_2 show people shearing sheep, either indoors or outdoors, with a focus on the shearing process. The images in cat_1 depict various scenes involving sheep, such as walking, being petted, or in a pen, but do not specifically focus on the shearing process.\n\nRule: The distinguishing rule is whether the image shows the act of shearing sheep.\n\nTest Image: The test image shows a person shearing a sheep with electric clippers.\n\nConclusion: cat_2']
177 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The images in cat_2 show people shearing sheep, while the images in cat_1 show people interacting with sheep in various other ways, such as walking, feeding, or posing with them.\n\nRule: The distinguishing rule is whether the image depicts the act of shearing sheep.\n\nTest Image: The test image shows a person shearing a sheep.\n\nConclusion: cat_2']
178 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images primarily feature hands using computer mice, while the `cat_1` images show people in various settings, including using a mouse, but not exclusively focused on the hand and mouse interaction.\n\nRule: The distinguishing rule is that `cat_2` images focus on hands using computer mice, whereas `cat_1` images show people in different contexts, not specifically centered on the hand and mouse interaction.\n\nTest Image: The test image shows a hand using a computer mouse.\n\nConclusion: cat_2']
179 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images primarily feature hands using computer mice, while the `cat_1` images show people in various settings, including using laptops, holding objects, or posing for the camera.\n\nRule: The distinguishing rule is that `cat_2` images show hands using computer mice, whereas `cat_1` images do not focus on this action.\n\nTest Image: The test image shows a person holding a computer mouse.\n\nConclusion: cat_2']
180 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people holding or interacting with apples in various settings, such as smelling, eating, or picking them. The `cat_1` images also involve people with apples but are more focused on the act of peeling or preparing apples, or feature apples in a more abstract or artistic context.\n\nRule: The distinguishing rule is that `cat_2` images depict people directly interacting with apples in a natural or everyday context, while `cat_1` images involve the preparation of apples or artistic representations.\n\nTest Image: The test image shows a person holding an apple close to their face, seemingly smelling it.\n\nConclusion: cat_2']
181 | expected:'cat_1' | got='cat_2' | full: ['Analysis: The `cat_2` images show people holding or interacting with apples, while the `cat_1` images show people in various settings without a clear focus on apples.\n\nRule: The distinguishing rule is that `cat_2` images feature people holding or interacting with apples.\n\nTest Image: The test image shows a person holding an apple.\n\nConclusion: cat_2']
182 | expected:'cat_2' | got='cat_2' | full: ['Analysis: The `cat_2` images show people holding remote controls, while the `cat_1` images show people holding game controllers or similar devices.\n\nRule: The distinguishing rule is that `cat_2` images feature individuals holding remote controls, whereas `cat_1` images feature individuals holding game controllers or similar gaming devices.\n\nTest Image: The test image shows a person holding a remote control.\n\nConclusion: cat_2']
